MAC #,incipit,repository,ms number,Notes and alternate forms of incipit by a few letters
284,ተአምሪሃ፡ ለእግዝእትነ፡ ማርያም፡ ድንግል፡ በክልኤ፡ ወላዲተ፡ አምላክ፡ እግዚአብሔር፡ ፀባኦት፡ ወላዲተ፡ ኢየሱስ፡ ክርስቶስ፡ ንጉሠ፡ ስብሐት፡ ፀንሰቶ፡ በድንግልና፡ ሕሊና፡ ወበድንግልና፡ ሥጋ፡ ወወለደቶ፡ እንዘ፡ ድንግል፡ በሕሊናሃ፡ ወእንዘ፡ ድንግል፡ በሥጋሃ፡ ወአርአየ፡ ተአምራቲሃ፡ ወምንክራቲሃ፡ ወገብረ፡ ኃይለ፡ ዐቢየ፡ ፍቁር፡ ወልዳ፡ እግዚእነ፡ በእንቲአሃ፡ ላዕለ፡ አሐዱ፡ አይሁዳዊ፡ ቀዲሙሰ፡ ነበረ፡ ክርስቲያናዊ። ጸሎታ፡…. ወሀለወት፡ አሐቲ፡ ሀገር፡ ሀገረ፡ ክርስቲያን፡ ወነገሥታቲሃኒ፡ ክርስቲያን፡ ይነብሩ፡ ምስለ፡ ጳጳሳት፡ ወኤጲስ፡ ቆጶሳት፡ ቀሳውስት፡ ወዲያቆናት፡ ወመነኮሳት፡ ብዙኃን፡ ይነብሩ፡ በይእቲ፡ ሀገር። ወተንሥአ፡ አሐዱ፡ አይሁዳዊ፡ እምነ፡ ክርስቲያነ፡ ካህናት,EMML,3051,
285,ዘገብረት፡ ተአምረ፡ ወመንክረ፡ በአሐቲ፡ ንስቲት፡ ደወል፡ ወይነብሩ፡ ውስቴታ፡ መብዝኅቶሙ፡ አይሁድ፡ ወይነብሩ፡ ህየ፡ ውሑዳን፡ ክርስቲያን። ወሶበ፡ ሰምዓ፡ እምኔሆሙ፡ አሐዱ፡ ወልድ፡ አይሁዳዊ፡ ትምህርተ፡ ክርስቲያን፡ ወነበረ፡ እንዘ፡ ይብል፡ እሙንኑ፡ ሃይማኖተ፡ ክርስቲያን፡ ወሚመ፡ ሃይማኖተ፡ አይሁድኑ፡ እሙን,EMML,3872,ዘገብረት፡ ተአምረ፡ ወመንክረ፡ በአሐቲ፡ ንስቲት፡ ደወል፡ ወይነብሩ፡ ውስቴታ፡ መብዝኅቶሙ፡ አይሁድ፡ ወይነብሩ፡ ህየ፡ ውሑዳን፡ ክርስቲያን። ወሶበ፡ ሰምዓ፡ እምኔሆሙ፡ አሐዱ፡ ወልድ፡ (ms: ወልደ፡) አይሁዳዊ፡ ትምህርተ፡ ክርስቲያን፡ ወነበረ፡ እንዘ፡ ይብል፡ እሙንኑ፡ ሃይማኖተ፡ ክርስቲያን፡ ወሚመ፡ ሃይማኖተ፡ አይሁድኑ፡ እሙን
286,ንጽሕፍ፡ ተአምረ፡ ልደቱ፡ ለወልደ፡ እግዚአብሔር፡ ወወልደ፡ ማርያም፡ ክቡር፡ ውእቱ፡ ኢየሱስ፡ ክርስቶስ። መቅድመ፡ ቃል፡ ዘሰመዮ፡ ሄኖክ፡ ዘዓርገ፡ በነኰርኳረ፡ ነፋስ,EMML,3872,ንጽሕፍ፡ ተአምረ፡ ልደቱ፡ (ms: ልደቶ፡) ለወልደ፡ እግዚአብሔር፡ ወወልደ፡ ማርያም፡ ክቡር፡ ውእቱ፡ ኢየሱስ፡ ክርስቶስ። መቅድመ፡ ቃል፡ ዘሰመዮ፡ ሄኖክ፡ ዘዓርገ፡ በነኰርኳረ፡ ነፋስ
287,ዘገብረት፡ ተአምረ፡ ወመንክረ፡ ለአሐቲ፡ ብእሲተ፡ መስፍን፡ በኃይለ፡ ወልዳ፡ ፍቁር። ጸሎታ፡…. ወሀሎ፡ አሐዱ፡ ብእሲ፡ መስፍን፡ በአሐቲ፡ ሀገር፡ ዐባይ፡ እምአህጉረ፡ ክርስቲያን፡ ወቦቱ፡ ብእሲተ፡ እምዘመደ፡ ኄራን፡ ወስፉቀ፡ ፍቅረ፡ ያፈቅራ,EMML,3872,
288,ዘገብረት፡ ተአምረ፡ ወመንክረ፡ ለዝኩ፡ ወልድ፡ በተርጌላ፡ ማርያም። ጸሎታ፡…. ወኮነ፡ ሶበ፡ ልህቀ፡ ዝኩ፡ ሕፃን፡ በቴርጌላ፡ ማርያም፡ ይጸመድ፡ ወትረ፡ በዴዴ፡ መስፍን,EMML,3872,
289,ዘገብረት፡ ሎቱ፡ ተአምረ፡ ወመንክረ፡ ለገብረ፡ ዚአሃ፡ በቴርጌላ፡ ማርያም። ጸሎታ፡…. ወኮነ፡ ሶበ፡ በዝኃ፡ ሕማመ፡ ብድብድ፡ ላዕለ፡ ኵሉ፡ ምድር፡ በዴዴ፡ መስፍን፡ አዘዞሙ፡ መስፍን፡ ለወልዱ፡ ወለአዋልዲሁ፡ ወለኵሉ፡ ዕድ፡ ወአንስት፡ አዘዞሙ፡ ይትማህለሉ፡ ኀበ፡ እግዚአብሔር፡ ልዑል፡ ወኀበ፡ እግዝእትነ,EMML,3872,
290,ወኮነ፡ በመዋዕሊሁ፡ ለአስራፍ፡ ንጉሠ፡ ምስር፡ ከሐዲ፡ ኮነ፡ ስደት፡ ዐቢይ፡ ላዕለ፡ አብያተ፡ ክርስቲያናት፡ በመዋዕለ፡ ሢመቱ፡ ለአቡነ፡ ሊቀ፡ ጳጳሳት፡ ዘሀገረ፡ እለ፡ ስክንድርያ፡ አባ፡ ዮሐንስ። ወአሜሃ፡ ተጋብኡ፡ ተንበላት፡ እለ፡ ሀለዉ፡ ውስተ፡ ሀገረ፡ ስንደፋ፡ ወእልማሓሉ፡ ወደብረ፡ ምጥማቅ፡ ወበምክረ፡ ሰይጣን፡ አቡሆሙ፡ ተማከረ፡ ምክረ፡ እኩየ,EMML,3872,
291,ወኮነ፡ በአሐቲ፡ ሀገር፡ እምአድያመ፡ ግብጽ፡ ወውስተ፡ ይእቲ፡ ሀገር፡ ሀለወት፡ ደብር፡ ዘመነኮሳት፡ ወሶበ፡ አመከሮሙ፡ ሰይጣን፡ ለእሙንቱ፡ መነኮሳት፡ ነጺሮ፡ ትጋሆሙ፡ በነሲተ፡ እቶኖሙ፡ እንዘ፡ ይመልእ፡ መሬተ,EMML,3872,
292,ስምዑኬ፡ ኦሕዝበ፡ ክርስቲያን፡ ከመ፡ ናይድዕክሙ፡ ዘንተ፡ ተአምረ፡ ዐቢየ፡ ወመድምመ፡ ዘተገብረ፡ በቤተ፡ ክርስቲያና፡ ለእግዝእትነ፡…. ዘደብረ፡ ምጥማቅ። ወበአሐቲ፡ ዕለት፡ እንዘ፡ ጉቡኣን፡ ውስተ፡ ቤተ፡ ክርስቲያን፡ ዘደብረ፡ ምጥማቅ፡ ይገብሩ፡ በዓላ፡ ክርስቲያን፡ ንጉሠ፡ አፍርንጊ፡ ወንጉሠ፡ ሮም፡ ወሶርያ፡ ወማሮን፡ በከመ፡ ልማዶሙ,EMML,3872,
293,ተብህለ፡ ከመ፡ ነበረት፡ ሐና፡ ብፅዕት፡ ብእሲተ፡ ኢያቄም፡ በብዙኅ፡ ጸሎት፡ ወወሀባ፡ እግዚአብሔር፡ ዘርአ፡ ቡርክተ። ወእምድኅረ፡ ፯፡ አውራኅ፡ ተዓውቀ፡ ጽንሳ፡ ለሐና፡ ወሰምዑ፡ አዝማዲሃ፡ ወአዝማደ፡ ምታ፡ ወመጽኡ፡ ወይቤልዋ፡ ምንትኑ፡ ዝነገር፡ ዘመጽአ፡ ኀቤኪ,EMML,3051,ተብህለ፡ ከመ፡ ነበረት፡ (ms: ነበት፡) ሐና፡ ብፅዕት፡ ብእሲተ፡ ኢያቄም፡ በብዙኅ፡ ጸሎት፡ ወወሀባ፡ እግዚአብሔር፡ ዘርአ፡ ቡርክተ። ወእምድኅረ፡ ፯፡ አውራኅ፡ ተዓውቀ፡ ጽንሳ፡ ለሐና፡ ወሰምዑ፡ አዝማዲሃ፡ ወአዝማደ፡ ምታ፡ ወመጽኡ፡ ወይቤልዋ፡ ምንትኑ፡ ዝነገር፡ ዘመጽአ፡ ኀቤኪ
294,ወእንዘ፡ ትትፋለስ፡ እምአዳም፡ ውስተ፡ ከርሡ፡ ለሴት፡ ወሄኖክ፡ ወቀይናን፡….,EMML,3051,
295,ወይቤሎ፡ እግዚአብሔር፡ ለገብርኤል፡ ወበላ፡ ለወለተ፡ ጽዮን፡ ወልደ፡ እግዚአብሔር፡ ይመጽእ፡ ላዕሌኪ፡ ወኃይለ፡ ልዑል፡ ይጸልለኪ፡ ወዝኒ፡ ይትወለድ፡ እምኔኪ,EMML,3051,
296,ከመ፡ ታእምሩ፡ ልደታ፡ ለእግዝእትነ፡ ማርያም። ወጥቀ፡ ትከብር፡ እምአዝማዲሃ፡ ወእምነ፡ ኵሉ፡ ዓለም። ወሕዝበ፡ እስራኤልሰ፡ ቦዐ፡ ሰይጣን፡ ውስተ፡ አልባቢሆሙ,EMML,3051,
297,ወበዕለተ፡ እሑድ፡ ጊዜ፡ ፫፡ ሰዓት፡ መጽአ፡ ኀቤሃ፡ ገብርኤል፡ መልአክ፡ ግብተ፡ እንዘ፡ ትፈትል፡ ወርቀ፡ ወሜላተ፡ ለመንጦላዕተ፡ ቤተ፡ መቅደስ,EMML,3051,
298,ወሶበ፡ ፈጸመ፡ አዝማነ፡ ንብረታ፡ ውስተ፡ ቤተ፡ መቅደስ፡ ወሖሩ፡ ኀቤሃ፡ ካህናት፡ ወሊቃነ፡ ካህናት፡ ወሌዋውያን፡ በኅብረቶሙ፡ ወይቤልዋ፡ ንዒ፡ ፃዒ,EMML,3051,
299,ወነበሩ፡ ኅቡረ፡ ዮሴፍ፡ ምስለ፡ ማርያም፡ እንዘ፡ ይባርክዎ፡ ለእግዚአብሔር። ወእምድኅረ፡ ፱፡ አውራኅ፡ ተወልደ፡ ሕፃን፡ በቤተ፡ ልሔም፡ ዘይሁዳ፡ በበዐት,EMML,3051,
300,ወፅኡ፡ እምውስተ፡ በዐት፡ ዮሴፍ፡ ወማርያም፡ ወዐተዉ፡ ቤተ፡ ልሔም፡ ወቤተ፡ ዮሴፍ፡ ፀራቢ,EMML,3051,
301,ወሤመ፡ ሄሮድስ፡ አግብርቲሁ፡ ወሰብአ፡ ቤቱ፡ ወሕጽዋኒሁ፡ መኳንንተ፡ ወመሳፍንተ፡ ወረባናተ፡ ላዕለ፡ አህጉር,EMML,3051,
302,ወእምዝ፡ አመ፡ ሳብዕት፡ ዕለት፡ ሖረ፡ ውእቱ፡ ነዓዌ፡ አራዊት፡ ኀበ፡ ድማትያኖስ፡ ወነገሮ፡ ኵሎ፡ ዘርእየ,EMML,3051,
303,ወወረደ፡ ገብርኤል፡ መልአክ፡ ሀገረ፡ ሊባኖስ፡ ኀበ፡ ማርያም፡ ወይቤላ፡ ሰላም፡ ለኪ፡ ኦወለተ፡ ዳዊት,EMML,3051,
304,ወጊዜ፡ መንፈቀ፡ ሌሊት፡ አስተርአዮ፡ መልአከ፡ እግዚአብሔር፡ ለዮሴፍ፡ በሕልም,EMML,3051,
305,ወበውእቱ፡ መዋዕል፡ ኮነ፡ ዐቢይ፡ ትምክህት፡ ላዕለ፡ እስራኤል፡ ወላዕለ፡ ኵሉ፡ አህጉር፡ ወበሓውርት,EMML,3051,
306,ሚመጠነ፡ እነግር፡ ሊተሰ፡ የዓፅበኒ፡ ሕሊናየ። ወወረደ፡ በፈቃዱ፡ ቃል፡ ሥጋ፡ ኮነ፡ ወተወልደ፡ እምማርያም,EMML,3051,
307,ወእምድኅረ፡ ነበረት፡ ውስተ፡ በዐት፡ ወወፅአት፡ እምህየ፡ ወበጽሐት፡ ዲርዴ,EMML,3051,ወእምድኅረ፡ ነበረት፡ ውስተ፡ በዐት፡ ወወፅአት፡ እምህየ፡ ወበጽሐት፡ ዲርዴ (ms: ዲርዲ)
308,ጸሎት፡ ዘእግዝእትነ፡ ማርያም፡ ዘጸለየት፡ እንዘ፡ ሀለወት፡ በገዳመ፡ ኤዶምያስ፡ አመ፡ ጐየት፡ እምሄሮድስ፡ ራስዕ። ትቤ፡ እግዚኦ፡ አምላከ፡ እስራኤል፡ አድኅነኒ፡ እምመዊት,EMML,3051,
309,ወሀለወት፡ አሐቲ፡ ድንግል፡ እንተ፡ በፅዓት፡ ድንግልናሃ፡ ለማርያም፡ ወትትአመን፡ ብዙኀ፡ ወትብል፡ ኦእግዝእትየ፡ አልብየ፡ ምግባረ፡ ሠናይ፡ ወባሕቱ፡ ዕቀቢ፡ ድንግልናየ፡ ከመ፡ ኢይትኃፈር፡ በቅድሜኪ,EMML,7089,
310,ወኮነ፡ ውእቱ፡ ወልድ፡ ይነግር፡ ኂሩታ፡ ለእግዝእትነ፡…. በኵሉ፡ ጊዜ፡ ወኮኑ፡ ኵሎሙ፡ እለ፡ ይሰምዕዎ፡ ይሴብሕዎ፡ ለእግዚአብሔር፡ ልዑል፡ ወአእኰተዋ፡ ለቅድስት፡ ድንግል፡…. ጸሎታ፡….,EMML,(5105,
311,ተብህለ፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ ሐፃቤ፡ አልባስ፡ ወእንዘ፡ የሐፅብ፡ ልብሰ፡ መጽአ፡ አሐዱ፡ ብእሲ፡ ወሜጠ፡ ማየ፡ እንተ፡ ካልእ፡ ፍኖት,EMML,2059,
312,ወሀለወት፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ዘተሐንጸት፡ በስመ፡ እግዝእትነ፡…. በሀገረ፡ ሕምስ፡ እምአድያመ፡ ሻም፡ ወኮነ፡ ትገበር፡ በውስቴታ፡ ተአምራት፡ ወመንክራት። ወሶበ፡ ርእዩ፡ ተንበላት፡ ዘንተ፡ ቀንኡ፡ ላዕለ፡ ቤተ፡ ክርስቲያን፡ ወአምጽኡ፡ ምክንያተ፡ ወአንሀልዋ,EMML,5105,ወሀለወት፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ዘተሐንጸት፡ በስመ፡ እግዝእትነ፡…. በሀገረ፡ ሕምስ፡ (ms: ሕምምስ፡) እምአድያመ፡ ሻም፡ ወኮነ፡ ትገበር፡ በውስቴታ፡ ተአምራት፡ ወመንክራት። ወሶበ፡ ርእዩ፡ ተንበላት፡ ዘንተ፡ ቀንኡ፡ ላዕለ፡ ቤተ፡ ክርስቲያን፡ ወአምጽኡ፡ ምክንያተ፡ ወአንሀልዋ
313,ስምዑኬ፡ ዘገብረት፡ እግዝእትነ፡…. አመ፡ ፲፡ ወ፮፡ ለነሐሴ። ወነበረ፡ አሐዱ፡ መፃጕዕ፡ ውስተ፡ አሐቲ፡ ሀገር፡ ወአስተርአየቶ፡ በሕልም,EMML,5105,
314,ወሀሎ፡ አሐዱ፡ ቀሲስ፡ ወኀልቁ፡ ብእሲቱ፡ ወደቂቁ,EMML,5105,
315,ወካዕበ፡ ንነግረክሙ፡ አኃዊነ፡ ኂሩታ፡ ወንጽሕናሃ፡ ለእግዝእትነ፡ ማርያም፡ ወዘከመ፡ ነበረት፡ ውስተ፡ ቤተ፡ መቅደስ። ጸሎታ፡…. ወነበረት፡ እግዝእትነ፡ ማርያም፡ ውስተ፡ ቤተ፡ መቅደስ፡ እንዘ፡ ትትለአክ፡ በንጽሕ፡ ወበሕድአት፡ ወበትሕትና፡ ወኵሎሙ፡ ካህናት፡ ያስተበፅዕዋ፡ ወይባርክዋ፡ ወፈድፋደሰ፡ ስምዖን፡ አረጋዊ፡ ወዘካርያስ፡ ዘመዳ,EMML,5105,
316,ንነግረክሙ፡ አበዊነ፡ ቅዱሳን፡ ወአኀዊነ፡ ፍቁራን፡ ውሉደ፡ ቤተ፡ ክርስቲያን፡ እግዚአብሔር፡ ይባርክሙ፡ ወያበርህ፡ አዕይንተ፡ አልባቢክሙ፡ ለሰሚዐ፡ ተአምሪሃ፡ ለእግዝእትነ፡ ማርያም፡ ዘያስተፌሥሕ፡ አልባበ፡ ወይመርህ፡ ውስተ፡ መንግሥተ፡ ሰማያት። ሚመጠነ፡ ተአምረ፡ ገብረት፡ በእደዊሆሙ፡ ለአበው፡ ቀደምት፡ ተአምረ፡ ወመንክረ፡ ዘአልቦ፡ ኍልቈ። መቅድመ፡ ኵሉ፡ ንነግረክሙ፡ ሕይወታ፡ ወንጽሕናሃ፡ እስመ፡ ኀረያ፡ እግዚአብሔር፡ እምቀዳሚ። ወሀሎ፡ አሐዱ፡ ብእሲ፡ እምዘመደ፡ ካህናት፡ ዘይሰመይ፡ ኢያቄም፡ ወአውሰበ፡ ብእሲተ፡ እምአዋልደ፡ ይሁዳ፡ ወትሰመይ፡ ሐና,EMML,5105,
316,ወካዕበ፡ ንነግረክሙ፡ ቅድስናሃ፡ ወንጽሕናሃ፡ ለእግዝእትነ፡…. ዘከመ፡ አብእዋ፡ ውስተ፡ ቤተ፡ መቅደስ፡ ሶበ፡ ፈጸመ፡ ሀፂነ፡ ፫፡ ዓመተ,EMML,VLVE 298,ወካዕበ፡ ንነግረክሙ፡ ቅድስናሃ፡ ወንጽሕናሃ፡ ለእግዝእትነ፡…. ዘከመ፡ አብእዋ፡ ውስተ፡ ቤተ፡ መቅደስ፡ ሶበ፡ ፈጸመ፡ ሀፂነ፡ ፫፡ (ms. omits) ዓመተ
316-B,ተብህለ፡ ከመ፡ ነበረት፡ ሐና፡ ብፅዕት፡ ብእሲተ፡ ኢያቄም፡ በብዙኅ፡ ጸሎት፡ ወወሀባ፡ እግዚአብሔር፡ ዘርአ፡ ቡርክተ። ወእምድኅረ፡ ፯፡ አውራኅ፡ ተዓውቀ፡ ጽንሳ፡ ለሐና፡ ወሰምዑ፡ አዝማዲሃ፡ ወአዝማደ፡ ምታ፡ ወመጽኡ፡ ወይቤልዋ፡ ምንትኑ፡ ዝነገር፡ ዘመጽአ፡ ኀቤኪ,EMML,3051,ተብህለ፡ ከመ፡ ነበረት፡ (ms: ነበት፡) ሐና፡ ብፅዕት፡ ብእሲተ፡ ኢያቄም፡ በብዙኅ፡ ጸሎት፡ ወወሀባ፡ እግዚአብሔር፡ ዘርአ፡ ቡርክተ። ወእምድኅረ፡ ፯፡ አውራኅ፡ ተዓውቀ፡ ጽንሳ፡ ለሐና፡ ወሰምዑ፡ አዝማዲሃ፡ ወአዝማደ፡ ምታ፡ ወመጽኡ፡ ወይቤልዋ፡ ምንትኑ፡ ዝነገር፡ ዘመጽአ፡ ኀቤኪ
316-C,ንግባእኬ፡ ሀበ፡ ጥንተ፡ ነገር። ወሶበ፡ ተፈጸመ፡ መዋዕለ፡ ፅንሳ፡ ወለደት፡ ወለተ፡ አመ፡ ፩፡ ለግንቦት፡ እንዘ፡ ትበርህ፡ እምነ፡ ፀሐይ,EMML,1799,
316-D,ወነበሩ፡ ኢያቄም፡ ወሐና፡ እንዘ፡ የሐፅኑ፡ ወለቶሙ፡ ማርያም፡ ፫፡ ዓመተ፡ እንዘ፡ ይሴብሕዎ፡ ወየአኵትዎ፡ ለእግዚአብሔር,EMML,3378,
317,ወካዕበ፡ ንነግረክሙ፡ አኀዊነ፡ ቅዱሳን፡ ውሉደ፡ ቤተ፡ ክርስቲያን፡ ዝናሃ፡ ለእግዝእትነ፡…. ሚመጠነ፡ ሐዘን፡ ዘበጽሐ፡ ላዕሌሃ፡ እምደቂቀ፡ እስራኤል፡ እስከ፡ በጽሐ፡ ኀቤሃ፡ ገብርኤል፡ መልአክ፡ ወዜነዋ፡ ትፍሥሕተ,EMML,2275,
318,ስምዑኬ፡ ዘገብረት፡ እግዝእትነ፡…፡ ደቂቀ፡ ቤተ፡ ክርስቲያን፡ ወእግዚአብሔር፡ ያርኁ፡ አናቅጸ፡ ልብክሙ፡ ለሰሚዓ፡ ተአምሪሃ። ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘይሰመይ፡ ጢራስ፡ ወሖረ፡ ምስለ፡ እግዚኡ፡ መፍቀሬ፡ እግዚአብሔር፡ ልዑል፡ ወመፍቀሬ፡ እሙ፡ ድንግል,EMML,2275,ስምዑኬ፡ ዘገብረት፡ እግዝእትነ፡…፡ ደቂቀ፡ ቤተ፡ ክርስቲያን፡ ወእግዚአብሔር፡ ያርኁ፡ አናቅጸ፡ ልብክሙ፡ ለሰሚዓ፡ ተአምሪሃ። ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘይሰመይ፡ ጢራስ፡ (ms: ጤራስ፡) ወሖረ፡ ምስለ፡ እግዚኡ፡ መፍቀሬ፡ እግዚአብሔር፡ ልዑል፡ ወመፍቀሬ፡ እሙ፡ ድንግል
319,ወሀሎ፡ አሐዱ፡ ንጉሥ፡ ክርስቲያናዊ፡ መፍቀሬ፡ እግዚአብሔር፡ ወርቱዕ፡ ሃይማኖቱ፡ ወሠናይ፡ ግዕዙ፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ወእምብዝኃ፡ አፍቅሮቱ፡ ዚአሃ፡ አግበረ፡ ሥዕለ፡ በአምሳሊሃ,EMML,2275,
320,ወሀሎ፡ አሐዱ፡ ንጉሥ፡ ክርስቲያናዊ፡ መፍቀሬ፡ እግዚአብሔር፡ ልዑል፡ ወመፍቀሬ፡ እሙ፡ ድንግል፡ ወጽኑዕ፡ ሃይማኖቱ፡ ወሠናይ፡ ምግባሩ። ወቦቱ፡ ሥዕለ፡ እግዝእትነ፡…. ዘሥዑል፡ በወርቅ፡ ወወትረ፡ ይጼሊ፡ ኀበ፡ ውእቱ፡ ሥዕል፡ በጊዜ፡ ረከቦ፡ ሐዘን፡ ወትካዝ። ወመልአከ፡ ኃይሉ፡ ለንጉሥ፡ ዐለዎ,EMML,2275,
321,ወኮነ፡ ዝንቱ፡ ነገር፡ እምድኅረ፡ ወለደቶ፡ ለእግዚእነ፡ ኢየሱስ፡ ክርስቶስ፡ ወአዘዘ፡ ሄሮድስ፡ ከመ፡ ይቅትሉ፡ ሕፃናተ፡ ዘክልኤ፡ ዓማት። ወሰሚዓ፡ እግዝእትነ፡ ማርያም፡ አጐየየቶ፡ ለፍቁር፡ ወልዳ፡ ውስተ፡ ምድረ፡ ግብጽ። ወእንዘ፡ ትትጐየይ፡ ወአብጽሐቶ፡ ውስተ፡ አሐቲ፡ ሀገር፡ እምአህጉረ፡ ግብጽ፡ ኃምስ፡ ወአኃዞ፡ ለፍቁር፡ ወልዳ፡ ጽምዓ፡ ማይ፡ እስመ፡ ጊዜ፡ ቀትር፡ ውእቱ። ወቦአት፡ ውስተ፡ ቤተ፡ አሐቲ፡ ብእሲት፡ ከመ፡ ትስእል፡ ማየ፡ ለፍቁር፡ ወልዳ፡ ዘውእቱ፡ ወሀቤ፡ ዝናማት፡ ወይእቲሰ፡ ብእሲት፡ ባዕልት፡ ጥቀ፡ እምንዋየ፡ ዝንቱ፡ ዓለም፡ ወበምግባረ፡ ኀጢአት፡ ወነዳይት፡ ይእቲ፡ በምግባረ፡ ሠናይ፡ ወድርክት፡ ይእቲ፡ ካልእታ፡ ለኤልዛቤል,EMML,2066,ወኮነ፡ ዝንቱ፡ ነገር፡ እምድኅረ፡ ወለደቶ፡ ለእግዚእነ፡ ኢየሱስ፡ ክርስቶስ፡ ወአዘዘ፡ ሄሮድስ፡ ከመ፡ ይቅትሉ፡ ሕፃናተ፡ ዘክልኤ፡ ዓማት። ወሰሚዓ፡ እግዝእትነ፡ ማርያም፡ አጐየየቶ፡ ለፍቁር፡ ወልዳ፡ ውስተ፡ ምድረ፡ ግብጽ። ወእንዘ፡ ትትጐየይ፡ (ms: እትጐየይ፡) ወአብጽሐቶ፡ ውስተ፡ አሐቲ፡ ሀገር፡ (ms: ምድረ፡ ግብጽ፡) እምአህጉረ፡ ግብጽ፡ ኃምስ፡ ወአኃዞ፡ ለፍቁር፡ ወልዳ፡ ጽምዓ፡ ማይ፡ እስመ፡ ጊዜ፡ ቀትር፡ ውእቱ። ወቦአት፡ ውስተ፡ ቤተ፡ አሐቲ፡ ብእሲት፡ ከመ፡ ትስእል፡ ማየ፡ ለፍቁር፡ ወልዳ፡ ዘውእቱ፡ ወሀቤ፡ ዝናማት፡ ወይእቲሰ፡ ብእሲት፡ ባዕልት፡ ጥቀ፡ እምንዋየ፡ ዝንቱ፡ ዓለም፡ ወበምግባረ፡ ኀጢአት፡ ወነዳይት፡ ይእቲ፡ በምግባረ፡ ሠናይ፡ ወድርክት፡ ይእቲ፡ ካልእታ፡ ለኤልዛቤል
322,ወእንዘ፡ ተሐውር፡ እግዝእትነ፡…. እምሀገር፡ ውስተ፡ ሀገር፡ ጐዪያ፡ እምነ፡ መዓቱ፡ ለሄሮድስ፡ ርጉም፡ ወበጽሐት፡ ውስተ፡ አሐቲ፡ ሀገር፡ እምአድያማተ፡ ግብጽ፡ ወሰብአ፡ ይእቲ፡ ሀገር፡ እኩያን፡ እሙንቱ,EMML,2275,
323,ተብህለ፡ እንከ፡ በእንተ፡ አሐዱ፡ ብእሲ፡ ዘመሐለ፡ በሐሰት፡ ወበእንተ፡ አሐዱ፡ መኰንን፡ ዐቢይ፡ ዘየፈቅራ፡ ለእግዝእትነ፡…. ወእንዘ፡ ሀለወት፡ እግዝእትነ፡ ማርያም፡ ውስተ፡ ሐቅለ፡ ገዳም፡ ዘቈላተ፡ ዮሰፍጥ፡ ጐዪየ፡ እምነ፡ ሕምዘ፡ መዐቱ፡ ለአርዌ,EMML,2275,
324,ወሀሎ፡ አሐዱ፡ ብእሲ፡ እምደቂቀ፡ ሴም፡ ዘሠናይ፡ ግዕዙ፡ ወርቱዕ፡ ልቡ,EMML,2275,
325,ተብህለ፡ በእንተ፡ እለ፡ መጽኡ፡ እኩያን፡ ፈያት፡ ከመ፡ ይንሥኡ፡ ንዋያ፡ ለእግዝእትነ፡…. ወበእንተ፡ ኦመ፡ ሰግላ፡ ክልኤ፡ ክፍለ። ወእንዘ፡ ትጐይይ፡ እግዝእትነ፡ ማርያም፡ ዘምስለ፡ ሕፃና፡ ኢየሱስ፡ ክርስቶስ፡ ዮሴፍ፡ ወሰሎሜ፡ ምስሌሃ፡ እምነ፡ መዐቱ፡ ለሄሮድስ፡ ዕልው፡ ወእንዘ፡ ትፈልስ፡ እምሀገር፡ ውስተ፡ ሀገር፡ ሶበ፡ ብጽሐት፡ ውስተ፡ አድያማተ፡ ደብረ፡ ምጥማቅ፡ ወአድግኒ፡ አሐዱ፡ ጽዑን፡ ስንቀ፡ ዚአሃ፡ ወነጸርዋ፡ እኩያን፡ ፈያት,EMML,2275,
326,በእንተ፡ ዘከመ፡ ከልአ፡ ባዕለ፡ ሐመር፡ ዐዲወ፡ ውስተ፡ ባሕረ፡ ተከዜ፡ ወአዕደውዋ፡ አእባን፡ ከመ፡ እንተ፡ ሐመር። ወአመ፡ ግብአታ፡ ለእግዝእትነ፡…. እምኀበ፡ ጐየት፡ እምምድረ፡ ግብጽ፡ ወደብረ፡ ቍስቋም፡ ሶበ፡ ሞቱ፡ ኵሎሙ፡ እለ፡ የኀሥሥዎ፡ ለሕፃና፡ ከመ፡ ይቅትልዎ፡ በትእዛዙ፡ ወበቃሉ፡ ለአምላከ፡ አማልክት፡ ወእንዘ፡ ትትመየጥ፡ በፍሥሓ፡ ውስተ፡ ሀገረ፡ አቡሃ፡ ዳዊት፡ ወበጽሐት፡ ኀበ፡ ባሕረ፡ ተከዜ፡ እንዘ፡ ትፈቅድ፡ ዐዲወ,EMML,2275,
327,ወሀለዉ፡ በአሐዱ፡ ደብር፡ ፫፡ ካህናት፡ ኄራን፡ ወሠናያን፡ ወማእምራነ፡ ቃለ፡ መጻሕፍት፡ ዘብሉይ፡ ወዘሐዲስ፡ ወያፈቅሩ፡ ተሠርግዎተ፡ በአልባስ፡ ቀጠንት,EMML,2275,
